SAMPLE,FILE NAME,SITE,YEAR,FILTER REPLICATE,COLOUR
S16,16_S2_17,2,2017,1,purple
S17,17_S2_17,2,2017,2,purple
S18,18_S2_17,2,2017,3,purple
S25,25_S10_17,10,2017,1,green
S26,26_S10_17,10,2017,2,green
S27,27_S10_17,10,2017,3,green
S28,28_S11_17,11,2017,1,orange
S29,29_S11_17,11,2017,2,orange
S30,30_S11_17,11,2017,3,orange
S31,31_S12_17,12,2017,1,grey
S32,32_S12_17,12,2017,2,grey
S33,33_S12_17,12,2017,3,grey
S40,40_S18_17,18,2017,1,black
S41,41_S18_17,18,2017,2,black
S42,42_S18-17,18,2017,3,black
S43,43_S19_17,19,2017,1,lightblue
S44,44_S19_17,19,2017,2,lightblue
S45,45_S19_17,19,2017,3,lightblue
S46,46_S20_17,20,2017,1,lightgreen
S47,47_S20_17,20,2017,2,lightgreen
S48,48_S20_17,20,2017,3,lightgreen
S49,49_S21_17,21,2017,1,pink
S50,50_S21_17,21,2017,2,pink
S51,51_S21_17,21,2017,3,pink
S62,62_S62,Filter Control,2017,6,red
S63,63_S63,Aquarium,NA,1,blue
S64,64_S64,Aquarium,NA,2,blue
S65,65_S65,Aquarium,NA,3,blue
S66,66_S66,Aquarium,NA,4,blue
S67,67_S67,Aquarium,NA,5,blue
S72,72_S72,Extraction Control ,NA,5,red