Date,Location,Latitude,Longitude,SST (°C),pH Level,Bleaching Severity,Species Observed,Marine Heatwave
2019-06-22,Red Sea,19.981,38.4898,27.63,8.017,None,118,False
2019-06-28,Maldives,3.1416,73.2224,27.35,8.085,Low,108,False
2019-07-05,Caribbean Sea,15.0165,-74.9583,25.51,8.129,High,168,False
2019-07-11,Red Sea,19.9395,38.5836,29.13,8.002,High,112,False
2019-07-18,Caribbean Sea,15.0279,-74.9962,29.31,7.988,None,114,False
2019-07-25,Caribbean Sea,14.9293,-75.0056,27.14,8.04,None,152,False
2019-07-31,Galápagos,-0.8992,-90.9351,26.86,8.067,High,154,False
2019-08-07,Great Barrier Reef,-18.28,147.8152,29.09,8.048,Medium,109,False
2019-08-13,South China Sea,10.0067,114.9924,29.56,8.077,Medium,97,False
2019-08-20,Caribbean Sea,14.9334,-75.0918,29.26,7.98,Medium,80,False
2019-08-26,South China Sea,10.0194,115.1246,28.49,8.092,Low,121,False
2019-09-02,Galápagos,-0.9587,-90.9196,28.06,8.072,Low,129,False
2019-09-09,Great Barrier Reef,-18.3205,147.7488,28.24,8.017,Medium,130,False
2019-09-15,Maldives,3.1579,73.2221,28.49,8.105,None,127,False
2019-09-22,Hawaiian Islands,19.8955,-155.5419,30.59,8.036,Low,99,True
2019-09-28,Caribbean Sea,14.9344,-75.0533,28.04,8.029,None,121,False
2019-10-05,Galápagos,-0.951,-90.9391,28.39,8.076,Medium,122,False
2019-10-12,Caribbean Sea,14.9012,-75.047,28.28,7.994,Medium,131,False
2019-10-18,Red Sea,20.0765,38.5609,28.18,8.131,Medium,125,False
2019-10-25,Galápagos,-0.9707,-90.9963,28.05,8.04,None,127,False
2019-10-31,Caribbean Sea,15.008,-74.9998,29.16,8.096,Medium,127,False
2019-11-07,South China Sea,9.9258,114.8723,29.9,7.954,Low,102,False
2019-11-13,Caribbean Sea,14.9415,-75.0901,29.31,8.072,Medium,103,False
2019-11-20,Caribbean Sea,14.8704,-75.0273,29.09,7.964,High,116,False
2019-11-27,Hawaiian Islands,19.896,-155.5538,28.68,7.998,None,136,False
2019-12-03,Maldives,3.1949,73.2193,27.1,8.056,High,120,False
2019-12-10,South China Sea,9.9914,115.0856,26.44,8.01,Medium,162,False
2019-12-16,Caribbean Sea,14.9895,-75.0335,30.06,7.989,Medium,131,True
2019-12-23,South China Sea,10.0339,114.9756,31.74,7.955,Medium,98,True
2019-12-30,Hawaiian Islands,19.9118,-155.5177,30.84,8.005,Medium,85,True
2020-01-05,Red Sea,20.023,38.4661,31.52,7.996,Medium,84,True
2020-01-12,South China Sea,10.0092,114.9326,27.04,8.139,Medium,124,False
2020-01-18,Maldives,3.1505,73.2475,30.28,8.05,Low,117,True
2020-01-25,South China Sea,9.9622,114.9289,30.75,7.989,None,93,True
2020-02-01,Red Sea,20.0664,38.5278,29.18,8.145,None,103,False
2020-02-07,Red Sea,20.0464,38.5029,28.9,8.118,Low,123,False
2020-02-14,Great Barrier Reef,-18.2602,147.7528,27.95,8.019,None,109,False
2020-02-20,South China Sea,9.9017,115.1028,26.85,8.072,Medium,132,False
2020-02-27,Red Sea,20.0154,38.5408,29.79,7.995,High,104,False
2020-03-04,Caribbean Sea,15.0141,-75.0124,30.91,8.026,None,106,True
2020-03-11,Red Sea,20.0331,38.5587,28.77,7.98,None,123,False
2020-03-18,Great Barrier Reef,-18.3197,147.6728,29.38,8.094,None,111,False
2020-03-24,Caribbean Sea,15.0154,-74.9149,28.86,8.173,High,124,False
2020-03-31,Galápagos,-1.0418,-90.9279,29.07,8.103,Low,124,False
2020-04-06,Galápagos,-0.9607,-91.0268,28.19,8.014,None,114,False
2020-04-13,Galápagos,-0.9244,-90.8821,29.09,7.978,Medium,120,False
2020-04-20,Caribbean Sea,15.0598,-75.0305,28.3,8.055,High,110,False
2020-04-26,Great Barrier Reef,-18.2547,147.6932,29.13,7.993,None,107,False
2020-05-03,Caribbean Sea,15.0361,-75.0186,31.09,7.978,None,97,True
2020-05-09,Hawaiian Islands,19.9434,-155.6537,25.86,8.027,Low,165,False
2020-05-16,Great Barrier Reef,-18.3147,147.8271,27.65,8.076,Low,151,False
2020-05-22,South China Sea,10.1003,115.1031,30.31,8.065,Low,110,True
2020-05-29,Caribbean Sea,15.0389,-75.0276,27.27,8.074,Medium,129,False
2020-06-05,Caribbean Sea,14.9773,-74.9652,29.93,8.026,High,127,False
2020-06-11,Caribbean Sea,14.9429,-75.0097,27.42,7.978,Medium,129,False
2020-06-18,Great Barrier Reef,-18.2932,147.7749,29.45,7.98,Medium,138,False
2020-06-24,Red Sea,20.0611,38.5291,28.16,8.009,Low,117,False
2020-07-01,Red Sea,20.0544,38.5942,30.81,7.979,Medium,80,True
2020-07-08,South China Sea,10.007,114.9116,28.98,8.033,None,108,False
2020-07-14,South China Sea,9.9203,115.0257,27.7,8.007,Medium,84,False
2020-07-21,Caribbean Sea,14.9986,-74.9114,30.99,7.977,High,86,True
2020-07-27,South China Sea,10.0234,114.9501,28.95,8.079,Low,133,False
2020-08-03,Caribbean Sea,14.995,-75.0102,27.18,8.035,None,129,False
2020-08-09,Maldives,3.2212,73.2664,27.3,8.149,Medium,127,False
2020-08-16,Red Sea,19.9989,38.4626,24.86,8.167,Medium,167,False
2020-08-23,South China Sea,9.9859,115.0033,29.27,7.956,Low,104,False
2020-08-29,Maldives,3.2425,73.158,28.94,7.973,Low,122,False
2020-09-05,Red Sea,19.9982,38.4192,30.25,7.978,High,90,True
2020-09-11,Red Sea,20.01,38.5574,26.98,8.084,High,141,False
2020-09-18,Caribbean Sea,15.0347,-74.9912,27.95,8.02,High,126,False
2020-09-25,South China Sea,9.9464,114.8539,29.15,8.082,Low,78,False
2020-10-01,South China Sea,9.9495,115.031,31.59,7.989,High,78,True
2020-10-08,Galápagos,-0.9629,-90.8969,27.53,8.029,Medium,122,False
2020-10-14,Caribbean Sea,14.9523,-74.9939,30.94,8.017,None,91,True
2020-10-21,Hawaiian Islands,19.8822,-155.661,29.82,8.02,Low,104,False
2020-10-28,Great Barrier Reef,-18.1274,147.7141,27.37,8.051,None,148,False
2020-11-03,Caribbean Sea,15.0057,-75.0719,29.88,7.989,Low,134,False
2020-11-10,Red Sea,20.054,38.4776,30.42,8.015,Medium,113,True
2020-11-16,Maldives,3.227,73.1784,27.53,8.121,Low,124,False
2020-11-23,Hawaiian Islands,19.8766,-155.6306,29.14,8.14,High,97,False
2020-11-29,Caribbean Sea,15.0012,-74.9294,28.38,8.075,None,105,False
2020-12-06,Great Barrier Reef,-18.2657,147.6898,29.98,8.08,High,144,False
2020-12-13,Hawaiian Islands,19.9258,-155.5665,28.79,8.027,Medium,122,False
2020-12-19,South China Sea,9.9852,115.0084,30.48,7.96,Medium,117,True
2020-12-26,Galápagos,-0.8879,-90.9715,25.32,8.083,None,171,False
2021-01-01,Red Sea,19.9989,38.45,27.74,8.107,None,135,False
2021-01-08,Caribbean Sea,14.9881,-75.0183,27.91,8.016,Low,150,False
2021-01-15,Red Sea,19.9839,38.5609,30.78,8.054,High,90,True
2021-01-21,Red Sea,20.0202,38.4988,27.14,8.093,Medium,115,False
2021-01-28,South China Sea,10.0594,114.9768,28.8,8.058,None,113,False
2021-02-03,South China Sea,10.0293,114.9763,29.81,7.957,Medium,108,False
2021-02-10,Great Barrier Reef,-18.1902,147.6492,27.48,8.096,Low,132,False
2021-02-16,Caribbean Sea,15.0175,-74.9755,29.45,8.086,Medium,116,False
2021-02-23,Hawaiian Islands,19.8847,-155.5492,31.35,7.986,High,76,True
2021-03-02,Galápagos,-0.8984,-90.9716,25.24,8.158,Low,144,False
2021-03-08,Great Barrier Reef,-18.2916,147.7158,28.79,8.08,Low,110,False
2021-03-15,South China Sea,10.0257,114.987,29.61,8.059,None,94,False
2021-03-21,Galápagos,-0.8995,-90.9924,29.71,8.044,Medium,135,False
2021-03-28,Great Barrier Reef,-18.2983,147.6817,28.47,8.035,Low,132,False
2021-04-04,Great Barrier Reef,-18.3679,147.6465,26.9,8.13,Medium,161,False
2021-04-10,Great Barrier Reef,-18.2923,147.6908,28.61,8.106,None,105,False
2021-04-17,Caribbean Sea,15.0119,-74.9512,29.25,8.044,None,127,False
2021-04-23,Hawaiian Islands,19.7616,-155.5489,27.52,7.978,High,137,False
2021-04-30,Maldives,3.2715,73.2138,29.93,8.102,Medium,125,False
2021-05-06,Maldives,3.2848,73.2578,28.61,7.968,None,115,False
2021-05-13,Maldives,3.1606,73.3292,28.24,8.061,None,130,False
2021-05-20,Maldives,3.205,73.3055,27.57,8.078,High,118,False
2021-05-26,Maldives,3.1368,73.1901,28.44,8.03,Low,110,False
2021-06-02,Caribbean Sea,14.9297,-75.0042,26.24,8.133,None,143,False
2021-06-08,South China Sea,9.9271,114.9845,27.37,8.089,None,151,False
2021-06-15,Maldives,3.109,73.2265,28.26,8.088,Low,125,False
2021-06-22,Red Sea,19.9624,38.484,27.31,8.128,None,132,False
2021-06-28,Galápagos,-0.8587,-90.9686,27.44,7.996,Low,103,False
2021-07-05,Great Barrier Reef,-18.3663,147.7126,29.26,7.956,Low,125,False
2021-07-11,Maldives,3.1786,73.228,30.92,8.046,None,91,True
2021-07-18,Galápagos,-0.9984,-91.0732,27.42,8.061,None,115,False
2021-07-25,Great Barrier Reef,-18.2937,147.703,28.16,8.024,Medium,125,False
2021-07-31,Hawaiian Islands,19.9189,-155.6373,30.62,8.003,Low,99,True
2021-08-07,Maldives,3.2382,73.2324,29.93,8.036,Medium,96,False
2021-08-13,Galápagos,-0.9357,-91.0228,28.66,8.045,Low,115,False
2021-08-20,Hawaiian Islands,19.8904,-155.6769,27.68,8.071,High,130,False
2021-08-26,Great Barrier Reef,-18.3385,147.7625,27.2,8.124,None,139,False
2021-09-02,Red Sea,19.9677,38.5888,26.71,8.132,High,152,False
2021-09-09,South China Sea,9.9665,115.0696,28.12,8.072,Medium,127,False
2021-09-15,Red Sea,19.9933,38.5405,29.69,7.939,None,127,False
2021-09-22,Hawaiian Islands,19.8137,-155.5312,30.19,7.962,Low,96,True
2021-09-28,Galápagos,-1.0091,-90.9763,28.04,8.098,None,144,False
2021-10-05,South China Sea,10.0698,114.9719,28.19,7.972,Medium,111,False
2021-10-12,Galápagos,-0.9056,-90.8848,26.65,8.057,Medium,138,False
2021-10-18,Great Barrier Reef,-18.2731,147.6587,29.14,8.014,Low,113,False
2021-10-25,Great Barrier Reef,-18.2598,147.6995,27.85,8.058,Medium,125,False
2021-10-31,South China Sea,9.9815,114.9871,30.9,8.03,Medium,91,True
2021-11-07,Red Sea,20.0348,38.4833,30.26,8.033,Low,100,True
2021-11-13,Maldives,3.2252,73.1422,26.81,8.024,None,139,False
2021-11-20,Red Sea,20.0866,38.6116,29.46,8.056,Medium,83,False
2021-11-27,Great Barrier Reef,-18.3142,147.6598,27.57,8.06,High,122,False
2021-12-03,South China Sea,9.901,115.0374,26.89,8.094,High,167,False
2021-12-10,Hawaiian Islands,19.8508,-155.7093,28.07,8.114,Medium,153,False
2021-12-16,Red Sea,19.9385,38.5248,27.8,8.059,None,166,False
2021-12-23,Red Sea,19.9249,38.5127,29.2,8.09,None,114,False
2021-12-30,South China Sea,10.0154,114.9804,28.9,8.025,Low,125,False
2022-01-05,Red Sea,19.9815,38.5189,28.46,8.107,Medium,119,False
2022-01-12,Hawaiian Islands,19.8081,-155.5197,27.14,8.044,Low,124,False
2022-01-18,South China Sea,10.0687,114.8932,33.21,8.009,Low,76,True
2022-01-25,Hawaiian Islands,19.8941,-155.5685,29.28,8.067,High,120,False
2022-01-31,Hawaiian Islands,19.9013,-155.5927,28.27,8.045,None,139,False
2022-02-07,Red Sea,20.0297,38.353,29.48,8.04,High,109,False
2022-02-14,Hawaiian Islands,19.8774,-155.5266,29.92,7.983,Medium,111,False
2022-02-20,South China Sea,9.9514,114.931,27.56,8.112,Low,143,False
2022-02-27,Caribbean Sea,15.0257,-74.9637,29.27,8.002,Low,118,False
2022-03-05,South China Sea,10.04,115.0377,30.28,8.05,None,107,True
2022-03-12,Caribbean Sea,15.0535,-75.0013,27.18,8.068,Medium,122,False
2022-03-19,Galápagos,-0.9876,-90.9728,27.31,8.058,High,103,False
2022-03-25,Galápagos,-0.9431,-90.9655,27.27,8.107,Medium,146,False
2022-04-01,Red Sea,19.9196,38.4619,27.35,8.026,Low,143,False
2022-04-07,South China Sea,9.9903,114.9868,25.49,8.142,Medium,131,False
2022-04-14,Galápagos,-0.9508,-90.9517,30.54,7.944,High,54,True
2022-04-20,Hawaiian Islands,19.906,-155.4928,30.36,8.023,Medium,94,True
2022-04-27,Great Barrier Reef,-18.2467,147.6505,29.21,8.061,High,128,False
2022-05-04,South China Sea,10.138,115.0196,27.74,8.064,Medium,101,False
2022-05-10,Red Sea,19.9653,38.4795,27.71,8.073,High,115,False
2022-05-17,Galápagos,-0.8977,-90.9656,28.49,8.034,High,122,False
2022-05-23,Great Barrier Reef,-18.2458,147.6558,27.51,8.055,Medium,109,False
2022-05-30,Galápagos,-0.9948,-90.9894,29.81,8.037,None,109,False
2022-06-06,Great Barrier Reef,-18.2446,147.6923,29.09,8.033,Low,118,False
2022-06-12,Galápagos,-0.9829,-91.0875,28.3,8.125,None,135,False
2022-06-19,Hawaiian Islands,19.9451,-155.521,28.63,8.057,Medium,109,False
2022-06-25,South China Sea,9.9842,115.0308,30.31,8.007,Medium,95,True
2022-07-02,Red Sea,20.0,38.5301,26.33,7.979,None,133,False
2022-07-09,Red Sea,19.939,38.4746,28.28,8.032,Medium,144,False
2022-07-15,Maldives,3.2191,73.2357,29.43,7.974,Low,126,False
2022-07-22,Great Barrier Reef,-18.2909,147.7327,26.89,8.004,None,148,False
2022-07-28,Great Barrier Reef,-18.2683,147.6541,27.2,8.132,Medium,115,False
2022-08-04,Red Sea,20.0821,38.455,29.46,8.014,Medium,119,False
2022-08-10,Red Sea,19.9728,38.4919,28.56,7.999,None,130,False
2022-08-17,Great Barrier Reef,-18.3128,147.6878,27.01,7.952,Low,132,False
2022-08-24,Galápagos,-0.8332,-90.9264,28.47,8.037,None,120,False
2022-08-30,South China Sea,10.0274,114.941,30.17,8.052,Low,114,True
2022-09-06,Galápagos,-0.9319,-90.9646,29.51,8.059,Medium,104,False
2022-09-12,Red Sea,19.9713,38.5051,30.82,7.942,Medium,74,True
2022-09-19,Hawaiian Islands,19.905,-155.5803,28.76,8.057,None,114,False
2022-09-26,Hawaiian Islands,19.9713,-155.6628,27.26,8.07,Low,107,False
2022-10-02,Hawaiian Islands,19.888,-155.4997,28.53,8.061,Low,100,False
2022-10-09,Maldives,3.172,73.2019,28.02,8.124,Low,133,False
2022-10-15,South China Sea,9.9444,115.0123,29.25,8.092,Medium,136,False
2022-10-22,Hawaiian Islands,19.846,-155.6233,26.61,8.076,High,145,False
2022-10-28,Great Barrier Reef,-18.2377,147.6954,28.02,8.067,High,112,False
2022-11-04,South China Sea,10.1045,114.9196,28.78,8.146,Medium,117,False
2022-11-11,Hawaiian Islands,19.8873,-155.6007,28.23,8.124,None,89,False
2022-11-17,Galápagos,-0.8771,-91.0368,28.1,8.037,None,132,False
2022-11-24,Caribbean Sea,14.9201,-74.9769,31.54,7.921,Low,92,True
2022-11-30,Red Sea,19.9669,38.5213,28.53,8.017,None,127,False
2022-12-07,South China Sea,10.0902,114.9905,29.58,7.964,Medium,94,False
2022-12-14,Caribbean Sea,15.0236,-74.9258,29.03,8.024,None,114,False
2022-12-20,Hawaiian Islands,19.8343,-155.5526,29.82,8.001,None,99,False
2022-12-27,Caribbean Sea,15.0133,-75.0218,28.4,8.157,None,117,False
2023-01-02,Caribbean Sea,14.9821,-75.0324,29.62,8.019,None,99,False
2023-01-09,Red Sea,20.0661,38.571,27.6,7.975,None,144,False
2023-01-15,Red Sea,19.9658,38.5395,25.54,8.154,High,131,False
2023-01-22,Red Sea,20.0365,38.5007,27.07,8.058,High,144,False
2023-01-29,Red Sea,20.0053,38.5292,31.46,7.912,None,114,True
2023-02-04,Hawaiian Islands,19.902,-155.6277,26.5,8.08,None,153,False
2023-02-11,Caribbean Sea,14.9936,-74.9244,26.32,8.093,Low,122,False
2023-02-17,Caribbean Sea,15.0182,-74.9557,27.87,7.932,High,129,False
2023-02-24,Galápagos,-0.932,-90.9454,30.35,7.959,None,111,True
2023-03-03,Caribbean Sea,15.0596,-75.0889,28.98,8.015,Medium,113,False
2023-03-09,Red Sea,20.0174,38.4756,27.49,8.072,Medium,113,False
2023-03-16,Great Barrier Reef,-18.3414,147.7332,26.78,8.118,Low,144,False
2023-03-22,South China Sea,9.9137,114.9661,30.29,7.965,Low,95,True
2023-03-29,Galápagos,-0.9307,-90.9264,28.12,8.028,High,145,False
2023-04-05,South China Sea,10.0869,115.0489,28.63,8.007,High,106,False
2023-04-11,Maldives,3.2289,73.2416,30.6,8.04,Low,76,True
2023-04-18,South China Sea,10.0526,114.9501,27.92,8.074,None,155,False
2023-04-24,Great Barrier Reef,-18.1316,147.7295,28.23,8.082,Medium,136,False
2023-05-01,Red Sea,19.984,38.5898,28.85,8.068,Low,126,False
2023-05-07,Red Sea,20.0211,38.5419,27.57,8.041,None,112,False
2023-05-14,Great Barrier Reef,-18.2651,147.7381,29.19,8.12,None,113,False
2023-05-21,Hawaiian Islands,19.9302,-155.6374,27.92,8.096,Medium,138,False
2023-05-27,Red Sea,19.9853,38.4964,26.22,8.078,None,156,False
2023-06-03,Galápagos,-0.925,-90.9406,28.57,8.049,Low,109,False
2023-06-09,Hawaiian Islands,19.9317,-155.5618,29.24,8.009,Low,80,False
2023-06-16,South China Sea,10.0549,114.9761,27.21,8.111,Low,127,False
2023-06-23,Hawaiian Islands,19.9498,-155.5519,29.53,7.961,Medium,127,False
2023-06-29,Galápagos,-0.9407,-90.9841,28.72,7.957,None,123,False
2023-07-06,Maldives,3.1513,73.1531,26.22,8.151,Medium,133,False
2023-07-12,Caribbean Sea,15.0767,-75.0268,25.94,8.045,Low,164,False
2023-07-19,Galápagos,-0.9616,-90.993,28.74,8.07,Low,134,False
2023-07-25,Hawaiian Islands,19.9692,-155.6008,26.51,8.069,None,143,False
2023-08-01,Caribbean Sea,14.9518,-75.0479,29.02,8.037,High,115,False
2023-08-08,Caribbean Sea,14.9621,-75.0115,27.11,8.122,Medium,149,False
2023-08-14,Maldives,3.1105,73.1742,26.26,8.062,Low,141,False
2023-08-21,South China Sea,9.9275,114.9539,26.99,8.09,Medium,136,False
2023-08-27,Galápagos,-0.9899,-90.9568,27.68,8.053,Low,153,False
2023-09-03,Caribbean Sea,15.067,-75.065,29.74,8.066,Low,90,False
2023-09-10,Red Sea,20.0409,38.5769,26.82,8.038,None,152,False
2023-09-16,Hawaiian Islands,19.9104,-155.5552,29.01,8.059,Low,94,False
2023-09-23,Galápagos,-0.9014,-90.9071,28.16,8.055,Low,100,False
2023-09-29,Red Sea,20.0257,38.5286,28.41,8.108,High,115,False
2023-10-06,Great Barrier Reef,-18.2589,147.6482,28.46,8.042,Medium,123,False
2023-10-12,South China Sea,9.9815,114.9934,29.74,8.003,None,83,False
2023-10-19,Red Sea,20.0875,38.5691,26.56,8.123,None,131,False
2023-10-26,Caribbean Sea,15.0132,-74.9853,28.15,8.018,High,113,False
2023-11-01,Great Barrier Reef,-18.3329,147.6576,28.4,8.016,None,131,False
2023-11-08,Hawaiian Islands,19.9712,-155.6118,28.86,8.068,None,123,False
2023-11-14,Great Barrier Reef,-18.2833,147.7363,29.22,7.974,Medium,125,False
2023-11-21,Hawaiian Islands,19.9412,-155.621,28.56,8.083,Medium,116,False
2023-11-28,Great Barrier Reef,-18.2335,147.8174,27.32,8.005,Low,136,False
2023-12-04,Galápagos,-0.9177,-90.9771,30.68,7.939,Medium,108,True
2023-12-11,Maldives,3.1725,73.3067,31.49,7.952,Medium,81,True
2023-12-17,Caribbean Sea,15.043,-75.0194,28.43,8.053,Low,91,False
2023-12-24,Red Sea,19.9993,38.4655,27.76,8.137,Medium,108,False
2023-12-31,Red Sea,20.0407,38.4861,28.08,8.098,None,129,False
